#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
294;67;Fichte;100;Fichte_2_67;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;67;Fichte;100;Fichte_2_67;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
295;68;Fichte;100;Fichte_3_68;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
296;68;Fichte;100;Fichte_3_68;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
297;68;Fichte;100;Fichte_3_68;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
298;68;Fichte;100;Fichte_3_68;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;68;Fichte;100;Fichte_3_68;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
299;69;Tanne;101;Tanne_1_69;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
300;69;Tanne;101;Tanne_1_69;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
301;69;Tanne;101;Tanne_1_69;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
302;69;Tanne;101;Tanne_1_69;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
303;69;Tanne;101;Tanne_1_69;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;69;Tanne;101;Tanne_1_69;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
304;70;Tanne;101;Tanne_2_70;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
305;70;Tanne;101;Tanne_2_70;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
306;70;Tanne;101;Tanne_2_70;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
307;70;Tanne;101;Tanne_2_70;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
308;70;Tanne;101;Tanne_2_70;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;70;Tanne;101;Tanne_2_70;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
309;71;Fichte;100;Fichte_1_71;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
310;71;Fichte;100;Fichte_1_71;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
311;71;Fichte;100;Fichte_1_71;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
312;71;Fichte;100;Fichte_1_71;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;71;Fichte;100;Fichte_1_71;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
313;72;Fichte;100;Fichte_2_72;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
314;72;Fichte;100;Fichte_2_72;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
315;72;Fichte;100;Fichte_2_72;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
316;72;Fichte;100;Fichte_2_72;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;72;Fichte;100;Fichte_2_72;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
317;73;Fichte;100;Fichte_3_73;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
318;73;Fichte;100;Fichte_3_73;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
319;73;Fichte;100;Fichte_3_73;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
320;73;Fichte;100;Fichte_3_73;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;73;Fichte;100;Fichte_3_73;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
321;74;Tanne;101;Tanne_1_74;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
322;74;Tanne;101;Tanne_1_74;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
323;74;Tanne;101;Tanne_1_74;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
324;74;Tanne;101;Tanne_1_74;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
325;74;Tanne;101;Tanne_1_74;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;74;Tanne;101;Tanne_1_74;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
326;75;Tanne;101;Tanne_2_75;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
327;75;Tanne;101;Tanne_2_75;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
328;75;Tanne;101;Tanne_2_75;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
329;75;Tanne;101;Tanne_2_75;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
330;75;Tanne;101;Tanne_2_75;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;75;Tanne;101;Tanne_2_75;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
331;76;Fichte;100;Fichte_1_76;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
332;76;Fichte;100;Fichte_1_76;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
333;76;Fichte;100;Fichte_1_76;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
334;76;Fichte;100;Fichte_1_76;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;76;Fichte;100;Fichte_1_76;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
335;77;Fichte;100;Fichte_2_77;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
336;77;Fichte;100;Fichte_2_77;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
337;77;Fichte;100;Fichte_2_77;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
338;77;Fichte;100;Fichte_2_77;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;77;Fichte;100;Fichte_2_77;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
339;78;Fichte;100;Fichte_3_78;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
340;78;Fichte;100;Fichte_3_78;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
341;78;Fichte;100;Fichte_3_78;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
342;78;Fichte;100;Fichte_3_78;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;78;Fichte;100;Fichte_3_78;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
343;79;Tanne;101;Tanne_1_79;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
344;79;Tanne;101;Tanne_1_79;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
345;79;Tanne;101;Tanne_1_79;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
346;79;Tanne;101;Tanne_1_79;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
347;79;Tanne;101;Tanne_1_79;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;79;Tanne;101;Tanne_1_79;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
348;80;Tanne;101;Tanne_2_80;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
349;80;Tanne;101;Tanne_2_80;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
350;80;Tanne;101;Tanne_2_80;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
351;80;Tanne;101;Tanne_2_80;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
352;80;Tanne;101;Tanne_2_80;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;80;Tanne;101;Tanne_2_80;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
353;81;Fichte;100;Fichte_1_81;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
354;81;Fichte;100;Fichte_1_81;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
355;81;Fichte;100;Fichte_1_81;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
356;81;Fichte;100;Fichte_1_81;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;81;Fichte;100;Fichte_1_81;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
357;82;Fichte;100;Fichte_2_82;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
358;82;Fichte;100;Fichte_2_82;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
359;82;Fichte;100;Fichte_2_82;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
360;82;Fichte;100;Fichte_2_82;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;82;Fichte;100;Fichte_2_82;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
361;83;Fichte;100;Fichte_3_83;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
362;83;Fichte;100;Fichte_3_83;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
363;83;Fichte;100;Fichte_3_83;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
364;83;Fichte;100;Fichte_3_83;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;83;Fichte;100;Fichte_3_83;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
365;84;Tanne;101;Tanne_1_84;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
366;84;Tanne;101;Tanne_1_84;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
367;84;Tanne;101;Tanne_1_84;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
368;84;Tanne;101;Tanne_1_84;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
369;84;Tanne;101;Tanne_1_84;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;84;Tanne;101;Tanne_1_84;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
370;85;Tanne;101;Tanne_2_85;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
371;85;Tanne;101;Tanne_2_85;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
372;85;Tanne;101;Tanne_2_85;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
373;85;Tanne;101;Tanne_2_85;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
374;85;Tanne;101;Tanne_2_85;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;85;Tanne;101;Tanne_2_85;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
375;86;Fichte;100;Fichte_1_86;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
376;86;Fichte;100;Fichte_1_86;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
377;86;Fichte;100;Fichte_1_86;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
378;86;Fichte;100;Fichte_1_86;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;86;Fichte;100;Fichte_1_86;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
379;87;Fichte;100;Fichte_2_87;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
380;87;Fichte;100;Fichte_2_87;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
381;87;Fichte;100;Fichte_2_87;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
382;87;Fichte;100;Fichte_2_87;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;87;Fichte;100;Fichte_2_87;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
383;88;Fichte;100;Fichte_3_88;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
384;88;Fichte;100;Fichte_3_88;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
385;88;Fichte;100;Fichte_3_88;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
386;88;Fichte;100;Fichte_3_88;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;88;Fichte;100;Fichte_3_88;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
387;89;Tanne;101;Tanne_1_89;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
388;89;Tanne;101;Tanne_1_89;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
389;89;Tanne;101;Tanne_1_89;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
390;89;Tanne;101;Tanne_1_89;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
391;89;Tanne;101;Tanne_1_89;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;89;Tanne;101;Tanne_1_89;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
392;90;Tanne;101;Tanne_2_90;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
393;90;Tanne;101;Tanne_2_90;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
394;90;Tanne;101;Tanne_2_90;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
395;90;Tanne;101;Tanne_2_90;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
396;90;Tanne;101;Tanne_2_90;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;90;Tanne;101;Tanne_2_90;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
397;91;Fichte;100;Fichte_1_91;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
398;91;Fichte;100;Fichte_1_91;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
399;91;Fichte;100;Fichte_1_91;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
400;91;Fichte;100;Fichte_1_91;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;91;Fichte;100;Fichte_1_91;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
401;92;Fichte;100;Fichte_2_92;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
402;92;Fichte;100;Fichte_2_92;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
403;92;Fichte;100;Fichte_2_92;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
404;92;Fichte;100;Fichte_2_92;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;92;Fichte;100;Fichte_2_92;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
405;93;Fichte;100;Fichte_3_93;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
406;93;Fichte;100;Fichte_3_93;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
407;93;Fichte;100;Fichte_3_93;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
408;93;Fichte;100;Fichte_3_93;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;93;Fichte;100;Fichte_3_93;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
409;94;Tanne;101;Tanne_1_94;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
410;94;Tanne;101;Tanne_1_94;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
411;94;Tanne;101;Tanne_1_94;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
412;94;Tanne;101;Tanne_1_94;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
413;94;Tanne;101;Tanne_1_94;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;94;Tanne;101;Tanne_1_94;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
414;95;Tanne;101;Tanne_2_95;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
415;95;Tanne;101;Tanne_2_95;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
416;95;Tanne;101;Tanne_2_95;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
417;95;Tanne;101;Tanne_2_95;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
418;95;Tanne;101;Tanne_2_95;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;95;Tanne;101;Tanne_2_95;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
419;96;Fichte;100;Fichte_1_96;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
420;96;Fichte;100;Fichte_1_96;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
421;96;Fichte;100;Fichte_1_96;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
422;96;Fichte;100;Fichte_1_96;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;96;Fichte;100;Fichte_1_96;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
423;97;Fichte;100;Fichte_2_97;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
424;97;Fichte;100;Fichte_2_97;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
425;97;Fichte;100;Fichte_2_97;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
426;97;Fichte;100;Fichte_2_97;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;97;Fichte;100;Fichte_2_97;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
427;98;Fichte;100;Fichte_3_98;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
428;98;Fichte;100;Fichte_3_98;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
429;98;Fichte;100;Fichte_3_98;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
430;98;Fichte;100;Fichte_3_98;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;98;Fichte;100;Fichte_3_98;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
431;99;Tanne;101;Tanne_1_99;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
432;99;Tanne;101;Tanne_1_99;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
433;99;Tanne;101;Tanne_1_99;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
434;99;Tanne;101;Tanne_1_99;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
435;99;Tanne;101;Tanne_1_99;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;99;Tanne;101;Tanne_1_99;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
436;100;Tanne;101;Tanne_2_100;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
437;100;Tanne;101;Tanne_2_100;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
438;100;Tanne;101;Tanne_2_100;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
439;100;Tanne;101;Tanne_2_100;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
440;100;Tanne;101;Tanne_2_100;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;100;Tanne;101;Tanne_2_100;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
